Profile Id,Opportunity Id,Opportunity Name,Opportunity Category,Opportunity End Date,Gender,City,Country,Current Student Status,Current/Intended Major,Status Description,Opportunity Start Date,Reward Amount,Badge Name,Skill Points Earned,Skills Earned
b6828fbc-d26a-4c3d-96df-3694c41cd493,00000000-0GT8-HCVB-01AE-6QEP8Y,Life Beyond Saint Louis University's Campus,Event,2022-10-27 18:29:00,Male,Krishna,India,Graduate Program Student,Computer Science,Rewards Award,2022-10-28 13:30:00,200,Life Beyond Saint Louis University's Campus,10,"[""Creative Thinking"",""Technology Literacy"",""Initiative"",""Career Readiness""]"
ba1667ef-588a-4727-85bc-6bb1936bee2c,00000000-0GT8-HCVB-01AE-6QEP8Y,Life Beyond Saint Louis University's Campus,Event,2022-10-27 18:29:00,Female,Hyderabad,India,Graduate Program Student,Others,Rewards Award,2022-10-28 13:30:00,200,Life Beyond Saint Louis University's Campus,10,"[""Creative Thinking"",""Technology Literacy"",""Initiative"",""Career Readiness""]"
c2adef7e-ce3a-4e82-aa1c-a8a060a42e2c,00000000-0GT8-HCVB-01AE-6QEP8Y,Life Beyond Saint Louis University's Campus,Event,2022-10-27 18:29:00,Male,Nizamabad,India,Not in Education,Computer Science,Not Started,2022-10-28 13:30:00,0,Not Given,0,No Skills Earned
e2729a57-37f8-4999-bad5-930ca8bcedd6,00000000-0GT8-HCVB-01AE-6QEP8Y,Life Beyond Saint Louis University's Campus,Event,2022-10-27 18:29:00,Male,KAKINADA,India,Undergraduate Student,Computer Science,Not Started,2022-10-28 13:30:00,0,Not Given,0,No Skills Earned
f5735036-203e-4c3f-95eb-480c7a8b5265,00000000-0GT8-HCVB-01AE-6QEP8Y,Life Beyond Saint Louis University's Campus,Event,2022-10-27 18:29:00,Male,Narasaraopet,India,Not in Education,Computer Science and Information Systems,Rewards Award,2022-10-28 13:30:00,200,Life Beyond Saint Louis University's Campus,10,"[""Creative Thinking"",""Technology Literacy"",""Initiative"",""Career Readiness""]"
f8b51d0e-d549-4387-8f97-838c237e0aa8,00000000-0GT8-HCVB-01AE-6QEP8Y,Life Beyond Saint Louis University's Campus,Event,2022-10-27 18:29:00,Female,Hyderabad,India,Graduate Program Student,Others,Rewards Award,2022-10-28 13:30:00,200,Life Beyond Saint Louis University's Campus,10,"[""Creative Thinking"",""Technology Literacy"",""Initiative"",""Career Readiness""]"
fb8e28fe-b608-4830-8aac-624d5e6649ae,00000000-0GT8-HCVB-01AE-6QEP8Y,Life Beyond Saint Louis University's Campus,Event,2022-10-27 18:29:00,Male,Vijayawada,India,Graduate Program Student,Computer Science and Information Systems,Not Started,2022-10-28 13:30:00,0,Not Given,0,No Skills Earned
fbb6fddd-7dbe-469c-bbb9-c4bbc55e9e88,00000000-0GT8-HCVB-01AE-6QEP8Y,Life Beyond Saint Louis University's Campus,Event,2022-10-27 18:29:00,Male,Bhadrachalam,India,Not in Education,Computer Science and Information Systems,Rewards Award,2022-10-28 13:30:00,200,Life Beyond Saint Louis University's Campus,10,"[""Creative Thinking"",""Technology Literacy"",""Initiative"",""Career Readiness""]"
004b8a25-17d4-4e9a-a41b-b5336327e170,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Female,Peshawar,Pakistan,Undergraduate Student,Others,Started,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
00628747-9775-4a85-a179-4d5007ccb8b7,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Female,vikarabad,India,Graduate Program Student,Information Systems,Started,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
00841155-6c62-4f83-b165-57ba0df9c031,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Male,Chicago,United States,Undergraduate Student,Computer Science,Started,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
00f5161c-ba85-472d-9b0a-3301aac78598,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Female,Saint Louis city,United States,Graduate Program Student,Information Systems,Team Allocated,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
01273a5e-fcc5-4b1a-a637-19aff497dac1,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Male,St louis,United States,Graduate Program Student,Computer Science,Started,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
014acbc8-41e4-4d5b-8ed5-e4cc6d81851a,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Male,Saint Louis,United States,Graduate Program Student,Computer Science,Team Allocated,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
01593fbd-baa7-4dee-8fd2-92c2c8268d67,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Female,Kadiri,India,Graduate Program Student,Computer Science,Rewards Award,2022-11-03 18:30:39,200,Career Essentials: Getting Started with Your Professional Journey,137,"[""Critical Thinking"",""Creative Thinking"",""Communication"",""Technology Literacy"",""Initiative""]"
0163d674-2316-4964-9374-72862ba986d7,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Male,Saint Louis,United States,Graduate Program Student,Others,Team Allocated,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
019c7a24-b72f-490c-ae28-ee3bf85eab4d,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Male,Mumbai,India,Graduate Program Student,Computer Science and Engineering,Withdraw,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
01c62595-2c3b-48f8-86f2-b07747d27fe2,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Female,Dubai,United Arab Emirates,High School Student,Others,Team Allocated,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
01ca6306-aa78-4a5a-9634-d546723751a7,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Male,Meerut,India,High School Student,Others,Started,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
021c0760-ed6c-49d8-b5c4-569d97f40f96,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Female,Jalingo,Nigeria,Graduate Program Student,Others,Team Allocated,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
021fd9d4-271a-41c2-9fab-602c5ffa264c,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Female,Alimosho,Nigeria,Graduate Program Student,Business Administration,Started,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
02de3f86-c70a-44b9-be27-ece1b5f98445,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Male,Alexandria,Egypt,Graduate Program Student,Others,Started,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
02eadc90-2efc-4372-aadf-1976ddddba40,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Male,kathmandu,Nepal,Undergraduate Student,Computer Science and Information Systems,Started,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
03066ef0-c5bb-4b1a-8c52-92d56fdaf4af,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Female,Bathinda,India,Graduate Program Student,Computer Science and Information Systems,Started,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
030c78ba-7927-4663-960d-b125f56c2bdb,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Female,Cordova,United States,High School Student,Others,Team Allocated,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
031732ef-28db-47b2-a5ce-61c41afde7dd,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Female,Tirupati,India,Graduate Program Student,Information Systems,Team Allocated,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
0337734f-da20-4b24-b124-6da010024caa,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Female,Suleja,Nigeria,Graduate Program Student,Others,Team Allocated,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
033e2fc9-dfa7-4ba3-91c8-a732bfd28ee2,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Male,Alimosho,Nigeria,Graduate Program Student,Others,Rewards Award,2022-11-03 18:30:39,200,Career Essentials: Getting Started with Your Professional Journey,137,"[""Critical Thinking"",""Creative Thinking"",""Communication"",""Technology Literacy"",""Initiative""]"
0364ba21-e8ba-41bc-bef9-08f1552cd058,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Female,Nairobi,Kenya,Not in Education,Others,Started,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
0371b96a-1f1a-488c-8a1e-a23511356837,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Female,Katsina,Nigeria,Graduate Program Student,Others,Team Allocated,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
03726f22-fe35-4149-a554-b761fe5a1087,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Male,Saint Louis,United States,Graduate Program Student,Others,Team Allocated,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
